lines_of_code,cyclomatic_complexity,num_functions,num_classes,avg_function_length,defect
4463,22,63,97,110,1
3798,6,44,46,30,1
4829,16,196,55,165,1
713,23,34,66,122,1
2048,9,1,5,27,1
3495,43,92,63,116,1
3793,35,115,71,123,1
1545,29,28,15,74,1
3354,14,194,79,9,1
3813,5,71,28,174,1
1903,21,75,83,102,1
4709,6,94,15,166,1
1341,1,108,9,138,1
3631,31,6,22,179,1
3507,45,188,32,83,1
1686,41,169,93,151,1
3746,28,80,82,30,1
3049,3,83,8,85,0
3202,38,154,32,74,1
748,23,143,88,24,0
2210,40,34,3,46,1
4147,4,14,39,160,1
4787,6,197,83,110,1
904,12,102,6,171,1
3524,12,84,38,158,1
1757,7,116,69,132,1
2827,28,12,61,31,1
1783,26,37,6,181,1
4981,48,199,5,5,1
3560,7,160,1,182,1
252,3,137,74,72,1
3305,13,122,42,159,1
4268,41,37,87,75,1
4546,11,128,69,121,1
816,39,137,50,140,1
4439,23,147,51,183,1
2377,47,103,87,198,1
2981,1,64,65,85,1
247,34,8,53,81,1
1980,31,140,39,161,1
3632,33,37,14,129,1
658,47,16,6,11,1
3322,36,105,89,194,1
1197,36,131,32,109,1
4332,14,136,57,55,1
3447,37,139,33,166,1
2561,32,82,74,192,1
1844,28,74,55,131,1
709,1,143,58,180,1
2861,47,23,22,148,1
1419,7,12,54,58,1
2036,16,131,24,158,1
196,32,61,75,38,1
3269,24,193,86,45,1
2961,14,35,96,114,1
1784,47,129,41,100,1
1893,15,100,84,141,1
538,1,122,8,190,1
3026,28,117,40,106,1
2009,19,111,13,51,1
2435,7,14,61,163,1
2969,18,84,90,53,1
4786,47,84,8,22,1
1852,13,33,90,31,1
4111,18,120,73,32,1
3419,4,117,67,179,1
312,4,179,65,10,1
673,27,69,39,51,1
1066,16,87,23,69,1
3693,14,16,99,40,1
2099,14,41,57,126,0
3773,7,110,73,7,1
4598,45,91,51,154,1
3158,14,73,55,180,1
4140,42,14,53,153,1
2106,45,29,21,61,1
3220,6,142,82,181,1
1732,43,95,4,144,1
2305,38,135,63,158,1
1204,27,172,28,96,1
4549,11,9,95,44,1
3241,31,189,56,27,1
1746,49,78,60,120,1
4041,3,188,15,51,1
4773,1,83,66,73,1
4732,16,53,96,162,1
1698,44,74,39,94,1
1495,27,47,74,145,1
4249,46,144,39,51,1
3973,3,47,72,183,1
303,8,165,91,106,1
3233,16,23,92,129,1
2607,47,159,28,117,1
148,2,58,36,71,0
2250,29,191,35,179,1
3011,16,130,79,120,1
4483,29,86,33,136,1
3827,31,125,36,118,1
2919,42,4,48,189,1
3284,11,97,28,130,1
3841,32,150,86,39,1
1006,24,185,52,180,1
4117,19,31,45,73,1
210,32,97,86,92,1
4543,10,54,41,132,1
1350,49,124,35,77,1
4961,32,148,76,199,1
4037,23,169,14,167,1
1577,33,9,26,129,1
1268,30,176,5,190,1
4546,30,23,64,105,1
4785,7,161,64,127,1
3154,16,33,2,168,1
2785,43,197,71,11,1
4605,1,191,49,131,1
1004,30,53,56,91,1
4615,34,115,94,60,1
3496,34,21,31,172,1
1095,38,64,51,133,1
1743,31,32,58,124,1
3486,8,192,90,150,1
612,20,169,15,131,1
2535,46,46,50,180,1
3404,29,150,47,5,1
275,31,18,79,44,1
4943,21,100,39,116,1
1009,26,119,96,82,1
4598,31,153,79,30,1
3117,20,90,35,93,1
865,22,77,70,159,1
4804,40,96,92,36,1
4692,26,67,53,53,1
3170,17,119,27,52,1
66,25,19,79,145,1
1293,37,78,1,178,1
2255,27,21,28,80,1
2574,3,50,59,178,0
1119,24,152,57,77,1
3494,25,61,99,88,1
2615,10,80,4,49,1
1110,36,101,12,53,1
2377,42,72,69,85,1
3470,18,60,58,136,1
351,45,93,7,163,1
4326,17,179,72,64,1
656,14,178,80,70,1
3220,19,57,1,51,0
749,18,197,98,49,1
1189,23,142,9,42,1
240,8,24,97,132,1
2350,16,10,3,120,1
1030,25,197,34,84,1
3025,43,45,48,34,1
1234,32,182,87,98,1
3377,49,114,18,190,1
3444,19,11,6,129,1
177,18,93,29,169,1
2115,32,98,61,71,1
1866,46,66,22,119,1
619,49,169,69,54,1
1945,40,55,68,32,1
2783,15,48,26,50,1
3913,49,48,21,99,1
4771,21,169,12,183,1
4064,11,58,74,141,1
2951,29,167,20,189,1
1736,32,72,31,166,1
3059,6,138,46,57,1
204,19,53,5,189,1
2587,16,109,61,74,1
1459,12,75,63,35,1
4107,15,60,11,114,1
834,11,78,37,92,1
3225,39,69,6,125,1
4391,10,50,62,195,1
2856,37,112,10,93,1
587,49,25,27,21,1
1891,24,26,28,157,1
2505,36,38,39,114,1
574,1,44,26,187,1
3000,46,45,31,153,1
4181,17,98,72,103,1
4830,14,17,19,162,1
4165,38,116,86,69,1
2418,25,53,43,93,1
3897,37,164,95,178,1
4545,35,95,56,99,1
2751,22,18,54,18,1
1021,47,12,1,114,1
1216,7,198,63,69,1
4979,11,139,43,35,1
2824,10,26,72,42,1
2032,14,169,50,126,1
903,35,136,58,103,1
4196,46,96,75,191,1
3786,49,119,33,192,1
3819,36,113,18,74,1
624,6,133,90,44,1
3311,5,196,2,62,1
1198,42,165,56,171,1
1765,7,47,47,119,1
4827,15,134,55,90,1
4983,21,22,18,77,1
3904,18,90,55,30,1
2541,1,29,64,18,1
2710,4,157,54,104,1
3174,11,197,94,43,1
3101,10,147,77,66,1
54,45,3,32,49,1
4919,19,40,28,164,1
926,42,47,74,151,1
1041,30,128,63,172,1
4192,41,104,20,8,1
4414,41,125,69,105,1
4515,20,188,18,27,1
685,27,168,13,37,1
1743,12,87,48,190,1
1732,14,155,17,161,1
4802,34,192,58,165,1
169,42,13,57,21,1
880,38,86,1,164,1
3725,2,11,83,26,1
1419,49,93,1,187,1
790,32,79,49,19,1
166,18,25,2,46,1
2888,21,85,38,30,1
1200,46,171,81,149,1
1981,11,55,20,152,1
1062,30,73,29,15,1
1714,19,28,86,43,1
1131,48,87,56,81,1
4779,40,157,8,177,1
562,30,94,2,194,1
2899,35,89,89,133,1
609,4,163,19,8,1
3722,21,129,43,169,1
4633,5,174,22,82,1
3393,36,103,49,100,1
4120,27,24,96,166,1
4849,7,89,86,141,1
1520,31,147,36,116,1
630,20,19,59,56,1
2344,25,161,4,141,1
3197,38,53,77,11,1
4299,25,104,37,145,1
1729,17,87,86,42,1
3556,46,183,47,128,1
2794,37,52,75,83,1
3406,15,113,55,77,1
4095,10,99,80,94,1
1293,34,112,76,191,1
3168,44,101,79,139,1
2191,43,169,61,152,1
3109,7,67,90,155,1
4598,39,172,56,24,1
3009,25,12,23,33,1
2315,39,123,36,5,1
2529,46,34,59,171,1
4696,44,198,72,104,1
1685,28,175,16,155,1
1807,42,194,42,81,1
4502,27,21,86,74,1
2120,37,75,11,184,1
2899,39,33,3,92,1
3301,38,13,4,74,1
3780,28,43,94,124,1
2539,34,12,6,189,1
1681,29,23,54,88,1
2866,45,82,74,18,1
1065,48,127,49,130,1
1398,8,60,75,55,1
4661,13,113,37,20,1
3137,46,20,0,165,1
2889,37,54,71,32,1
385,3,102,80,87,1
4642,14,112,51,167,1
945,32,162,20,110,1
3596,23,42,3,89,1
901,23,43,48,21,1
1737,13,53,27,76,1
1981,49,10,94,162,1
3796,41,112,85,146,1
2477,39,194,8,141,1
1618,21,24,52,146,1
4050,43,70,47,84,1
2788,48,133,89,32,1
3548,31,158,44,46,1
3963,7,131,96,88,1
1116,36,120,99,48,1
4430,19,76,23,62,1
2494,22,26,55,32,1
4157,24,162,51,33,1
3423,24,106,63,176,1
4019,21,22,3,150,1
2596,43,175,72,27,1
803,13,187,78,127,1
2132,6,102,32,172,1
2824,28,88,4,60,1
2946,32,76,61,153,1
4235,13,53,89,173,1
825,34,46,2,33,1
1675,32,183,95,11,1
3119,14,146,52,162,1
467,32,17,47,35,1
164,45,168,20,58,1
666,5,165,52,84,1
4024,35,31,0,42,1
3317,4,9,25,86,1
875,14,103,26,75,0
1566,18,116,99,51,1
3196,11,19,46,61,1
462,19,53,32,117,1
778,2,170,84,105,1
3398,34,3,93,164,1
2858,3,36,43,49,1
725,29,90,84,191,1
3515,23,78,56,73,1
2554,48,187,15,43,1
3017,1,96,36,168,1
2836,42,136,8,81,1
1172,6,181,28,102,0
4129,17,37,19,169,1
1621,19,75,7,118,1
2193,44,70,77,73,1
1737,48,165,46,147,1
4182,2,160,40,64,1
3901,15,161,41,131,1
3490,23,174,6,51,1
3816,19,81,59,96,1
2376,33,61,40,21,1
2964,6,182,16,127,1
4002,19,166,73,38,1
645,30,178,36,55,1
778,22,150,61,195,1
1415,3,191,88,98,1
4542,5,194,86,71,1
748,30,186,43,92,1
445,3,114,35,139,1
4221,39,23,63,129,1
4410,39,141,81,18,1
2552,28,28,41,48,1
1869,1,144,29,161,1
767,22,188,5,108,1
2832,45,13,78,28,1
4996,45,121,23,111,1
3627,47,127,28,129,1
193,39,152,15,198,1
3190,17,68,54,174,1
4541,42,96,72,176,1
2988,28,174,69,63,1
3686,30,51,77,27,1
3272,40,45,16,151,1
1217,8,26,55,175,1
2666,27,171,10,153,1
1112,41,79,27,161,1
2206,45,80,6,179,1
3032,25,1,96,53,1
3344,13,28,28,35,1
4779,34,81,28,14,1
1206,39,16,60,122,1
782,7,188,65,118,1
4380,22,101,29,86,0
4896,33,144,18,172,1
1003,46,110,43,10,1
2589,38,196,55,60,1
3374,31,43,61,168,1
3351,45,24,73,70,1
1592,33,27,64,94,1
1241,22,163,49,67,1
3043,27,115,98,169,1
2731,27,34,80,78,1
1267,21,57,97,98,0
1590,35,85,97,146,1
3286,47,173,49,117,1
2436,10,13,55,167,1
3769,47,199,15,60,1
1438,28,120,68,22,1
1906,40,44,76,104,1
1415,37,29,64,8,1
549,41,151,15,185,1
1730,33,190,71,36,1
560,8,82,69,94,1
4362,37,88,61,134,1
1374,41,176,62,113,1
1205,33,190,76,196,1
1877,19,133,8,21,1
3191,30,24,38,111,1
3536,14,85,97,116,1
1860,14,161,51,151,1
2973,36,10,8,100,1
2264,7,105,65,164,1
4236,43,127,75,99,1
763,34,21,45,40,1
3652,32,146,68,176,1
4184,42,30,86,52,1
3572,33,100,7,6,1
4318,14,161,29,185,1
4798,25,180,75,7,1
4899,28,141,2,5,1
1293,42,5,29,118,1
3759,39,64,19,190,1
1131,30,178,38,72,1
505,31,134,95,15,1
4974,24,165,48,81,1
944,4,76,88,154,1
1434,14,12,97,198,1
2008,9,58,52,23,1
3122,36,186,77,82,1
2046,6,13,99,94,1
4335,24,5,95,44,1
554,26,94,12,166,1
1264,34,145,42,147,1
1581,1,68,75,25,1
3490,23,86,96,108,1
873,17,135,96,62,1
978,36,127,40,39,1
183,37,164,40,37,1
2155,45,91,41,32,1
3677,20,78,3,59,1
4830,26,83,44,198,1
1902,11,126,49,57,0
4960,20,113,15,21,1
4225,1,146,55,106,1
2983,44,80,46,190,1
3334,13,61,60,72,1
4348,36,87,45,129,1
2861,44,38,81,116,1
1300,38,64,27,77,1
3562,13,110,4,136,1
1306,14,50,71,158,1
3426,12,36,37,149,1
3536,34,6,49,35,1
3634,27,181,80,167,1
1446,12,126,18,179,1
3687,38,111,63,68,1
3380,36,59,96,181,1
2753,1,55,85,20,1
520,26,150,25,17,1
1403,40,165,14,38,1
2833,40,80,60,177,1
2881,21,152,32,123,1
407,32,152,62,154,1
3069,25,10,9,197,1
717,12,77,68,136,1
4518,25,138,79,151,1
1195,26,58,40,89,1
4235,36,5,8,156,1
3769,16,177,29,42,1
2795,14,128,78,95,1
589,46,147,37,103,1
2829,34,180,85,11,1
4186,49,81,66,47,1
4885,24,193,81,87,1
3825,8,116,85,60,1
2558,27,96,56,166,1
2829,39,116,31,164,1
974,13,167,99,145,1
3006,29,123,68,173,1
1631,31,102,47,130,1
3374,43,1,64,129,1
4535,19,81,55,156,1
305,10,150,47,18,1
4854,43,108,27,184,1
1888,48,23,5,102,1
1994,40,147,86,74,1
59,34,27,86,31,1
2921,46,18,46,72,1
847,49,182,64,199,1
1065,49,145,53,171,1
1874,43,183,14,125,1
4519,1,90,48,11,1
3186,19,158,60,91,1
2243,1,53,8,68,1
273,24,81,77,128,1
4998,25,138,59,177,1
4208,4,94,89,143,0
3975,24,158,80,96,1
4834,39,26,83,85,1
4050,20,199,37,80,1
1683,33,197,36,94,1
2202,28,21,70,43,1
560,43,56,27,135,1
434,45,8,94,65,1
454,35,157,99,74,1
4663,24,160,2,72,1
4621,40,192,33,8,1
2050,44,172,68,147,1
2806,2,195,93,19,1
1718,23,56,71,181,1
1510,33,97,52,14,1
3686,14,68,70,59,0
2774,15,139,77,36,1
4859,32,92,80,28,1
4228,23,165,14,88,1
2098,4,136,70,190,1
4196,20,186,72,109,1
4830,31,130,68,165,1
766,7,6,97,40,1
4594,1,160,94,146,1
4633,5,100,36,142,1
1873,14,147,86,24,1
2131,30,107,35,24,1
3469,38,101,61,70,1
1624,23,146,94,75,1
299,7,99,19,45,1
723,44,89,19,85,1
4583,39,168,6,152,1
2215,16,60,29,89,1
820,9,168,10,20,1
4012,39,66,33,44,1
4413,46,150,64,141,1
2034,34,37,32,163,1
1127,31,110,47,165,1
285,45,33,19,68,1
438,7,20,10,37,0
3087,2,168,65,48,1
4908,6,140,67,198,1
1898,44,49,97,67,1
4769,34,162,21,165,1
2864,17,99,56,115,1
3424,26,103,43,117,1
3328,12,181,31,190,1
1302,20,60,95,7,1
4031,41,66,21,197,1
4723,46,28,4,52,1
2172,35,184,68,171,1
4580,35,180,27,159,1
2200,29,11,13,193,1
4909,48,171,57,14,1
1379,38,176,46,101,1
1408,31,186,4,35,1
2532,40,185,84,125,1
4592,13,142,46,117,1
2067,26,88,2,54,1
1381,22,182,75,152,1
4394,8,130,58,175,1
4311,40,42,96,10,1
1408,7,135,18,155,1
4687,5,102,6,160,1
4904,1,137,11,157,1
3227,45,33,10,178,1
2178,40,91,78,130,1
2230,11,121,21,140,1
4942,32,68,30,124,1
187,7,192,2,89,1
3522,29,97,68,175,1
2882,30,191,32,106,1
3629,21,136,77,84,1
3081,39,59,74,46,1
4214,48,104,19,92,1
2643,44,137,30,165,1
4350,43,140,79,74,1
3868,41,58,72,127,1
4188,39,49,50,45,1
3873,20,44,68,191,1
4092,22,139,81,173,1
1956,29,144,83,61,1
810,46,66,91,9,1
3495,4,111,82,196,1
949,3,166,12,108,1
4505,9,171,81,65,1
2997,5,101,81,181,1
1769,3,110,12,161,1
330,25,112,10,194,1
3316,32,195,4,84,1
1937,33,99,99,106,1
3316,18,73,75,131,1
716,45,187,18,118,1
4238,36,135,84,92,1
721,41,121,68,161,1
2019,29,154,61,56,1
4206,39,159,96,33,1
3172,47,152,0,80,1
4749,45,193,74,197,1
4827,2,184,34,64,1
3950,11,63,4,176,1
573,31,154,88,13,1
2443,4,58,62,162,1
3167,29,27,74,195,1
2643,3,69,85,109,1
2018,2,38,5,178,1
1803,44,47,0,114,1
2346,36,123,45,144,1
2311,14,21,12,41,1
2336,48,79,54,120,1
4252,4,140,18,139,1
2928,44,125,85,116,1
4193,30,75,28,111,1
3694,19,25,93,116,1
4482,19,196,2,40,1
2105,44,109,6,166,1
4770,31,86,92,194,1
1326,15,122,5,176,1
2816,29,171,41,121,1
352,3,179,61,5,1
688,19,89,9,127,1
105,22,24,30,155,1
4871,47,9,7,179,1
575,20,106,69,103,1
4619,7,22,6,185,1
4173,4,27,69,191,0
2175,1,61,18,173,1
3337,41,88,26,152,1
414,7,65,65,109,1
4671,22,65,48,192,1
1696,37,142,45,34,1
968,30,93,85,143,1
2847,9,20,38,68,1
1581,27,97,35,121,1
3395,38,173,51,43,1
1956,23,167,57,181,1
3136,12,84,96,90,1
4630,13,81,75,112,1
2125,33,158,28,75,1
763,15,192,8,183,1
1112,16,102,40,83,1
2026,34,102,86,58,1
1346,9,73,25,185,1
175,42,92,62,130,1
4682,27,23,27,192,1
3646,48,151,52,171,1
3333,15,32,71,141,1
1653,35,81,74,13,1
116,34,40,74,141,1
282,40,166,30,98,1
2206,30,62,76,145,1
1219,48,43,42,148,1
2208,23,85,15,61,1
4256,9,54,74,196,0
1543,32,41,47,161,1
4768,35,52,32,127,1
4057,49,183,98,89,1
2522,32,94,17,163,1
2710,45,173,30,132,1
2789,16,174,30,153,1
1811,32,178,10,186,1
3564,25,179,70,161,1
2025,30,70,29,195,1
2412,37,147,81,20,1
926,37,68,18,19,1
3862,35,49,80,126,1
3498,45,23,25,26,1
1362,8,133,19,86,1
1510,40,192,2,32,1
2759,49,33,72,198,1
2374,47,76,21,176,1
1783,36,59,33,167,1
1655,25,52,97,45,1
2613,18,93,82,34,1
3471,39,7,53,174,1
3567,10,43,55,44,1
2447,1,48,62,55,1
3785,4,118,3,162,1
2920,26,170,2,87,1
1210,11,190,89,195,1
4904,15,20,1,16,1
292,32,37,47,68,1
2640,15,41,18,29,1
1113,28,169,52,127,1
4374,23,87,85,54,1
2645,3,133,5,193,1
969,32,161,31,46,1
55,20,176,37,82,1
517,14,172,4,121,1
4220,35,10,81,123,1
53,40,189,51,146,1
695,42,11,34,146,1
167,9,58,53,74,1
2978,47,179,51,44,1
2601,24,143,83,109,1
4339,41,5,15,12,1
896,4,109,13,158,1
2812,12,61,87,60,1
1191,24,141,7,125,1
1860,1,45,42,19,1
773,14,23,85,11,1
274,31,16,34,92,1
4677,10,36,69,59,1
4258,33,138,65,57,1
4704,36,118,64,9,1
2098,42,96,78,182,1
4799,35,45,28,173,1
4465,48,131,7,179,1
1623,18,106,54,62,1
1878,25,165,33,46,1
1967,12,8,55,120,1
4284,28,1,75,148,1
2076,9,72,25,177,1
3794,24,193,47,6,1
951,20,30,61,197,1
4835,26,108,17,54,1
2089,5,196,7,32,1
59,27,127,50,54,1
310,28,124,8,78,1
1723,37,85,38,75,1
2269,40,165,41,150,1
2110,7,84,95,143,1
3763,19,28,73,134,1
1669,22,89,35,91,1
370,18,97,59,93,1
1392,15,183,23,64,1
2426,33,62,45,62,1
2882,39,15,7,154,1
2874,5,97,88,94,1
2044,40,195,89,82,1
3008,37,128,75,180,1
2088,5,144,25,133,1
3540,37,171,34,31,1
3727,43,111,43,54,1
1168,7,128,48,134,1
1654,2,90,23,144,1
4077,30,93,56,119,1
285,49,149,15,189,1
2019,11,95,40,169,1
4479,37,96,43,103,1
1958,39,72,5,186,1
425,33,43,39,62,1
3580,9,7,81,189,1
2685,11,135,99,10,1
1620,12,53,12,58,1
2610,10,186,97,127,1
3441,11,119,51,167,1
3015,33,147,21,32,1
3693,20,27,6,100,1
3900,5,148,17,166,1
922,47,100,84,48,1
1302,24,110,90,169,1
1364,32,159,7,10,1
4870,31,2,49,8,1
2948,42,189,31,165,1
127,44,98,4,54,1
2671,14,59,13,156,1
4277,19,159,48,10,1
650,42,74,1,141,1
1115,24,56,38,177,1
2186,32,197,23,7,1
2499,12,164,12,71,1
2393,21,158,85,161,1
1913,36,115,10,85,1
1368,25,23,18,22,1
4761,14,39,43,128,1
3647,8,73,93,89,1
3812,29,84,3,86,1
4720,25,99,52,33,1
2240,23,70,27,53,1
1042,36,128,74,42,1
2762,48,118,41,175,1
2242,12,165,48,77,1
1298,12,109,67,184,1
3104,18,109,15,20,1
4648,36,194,25,184,1
4083,48,59,91,181,1
2047,19,82,30,119,1
4966,48,197,54,50,1
3737,35,14,6,108,1
2201,49,83,15,172,1
4068,27,51,47,105,1
3160,3,109,57,136,1
2020,13,138,90,151,1
247,38,177,37,19,1
2676,41,181,12,145,1
1252,19,53,85,148,1
2085,43,96,53,60,1
527,35,89,53,125,1
1304,15,174,36,17,1
972,16,187,63,104,0
469,35,65,22,129,1
2254,5,99,82,190,1
2647,7,54,51,116,1
1170,21,121,5,61,1
3118,41,58,11,17,1
1000,1,167,10,155,1
2386,25,91,45,65,1
2293,30,74,11,132,1
2695,19,57,71,175,1
1907,24,98,10,197,1
4662,46,197,9,105,1
1915,15,97,28,196,1
2962,35,152,78,23,1
2903,24,179,97,99,1
4960,36,87,64,30,1
3278,49,126,38,90,1
3769,14,1,5,182,1
3278,22,11,44,194,1
2421,39,73,51,116,1
2941,8,71,92,160,1
3806,48,71,90,108,1
4275,16,120,33,105,1
144,46,91,45,162,1
2724,17,75,56,71,1
2005,5,133,12,98,1
843,41,107,38,88,1
1884,35,187,17,135,1
2166,37,12,13,72,1
4156,18,91,20,145,1
3375,21,180,31,9,1
2969,42,65,30,59,1
2647,1,136,35,155,1
3255,17,54,92,97,1
4857,8,161,23,198,1
864,29,101,28,125,1
395,20,170,9,147,1
2399,49,194,99,118,1
412,37,97,66,44,1
2493,39,68,87,148,1
2315,5,35,58,177,1
2238,10,150,21,34,1
3055,6,39,77,136,1
3331,7,5,1,22,1
1034,35,8,85,72,1
1689,27,62,23,183,1
877,42,51,17,50,1
2780,21,34,17,129,1
3581,24,41,52,7,1
4501,29,20,62,104,1
2985,27,82,99,66,1
3926,38,103,93,181,1
176,2,155,54,152,1
3227,25,120,1,88,1
3106,2,83,82,22,1
653,38,73,35,145,1
3499,18,84,12,93,1
4196,42,199,14,13,1
3583,7,16,51,22,1
3417,49,78,89,174,1
3418,4,7,23,103,1
3847,44,149,32,36,1
1842,40,45,66,106,1
2911,41,122,39,88,1
3526,10,94,8,96,1
3467,41,155,14,177,1
1695,28,130,88,73,1
1255,30,199,62,180,1
3080,24,13,48,162,1
2922,36,117,38,29,1
3122,16,147,39,109,1
1904,33,106,30,69,1
4071,10,54,16,177,1
4712,48,186,89,65,1
2758,21,138,37,107,1
3552,27,131,47,189,1
1382,21,145,94,105,1
251,27,138,46,153,1
3557,32,43,44,187,1
4262,5,51,14,196,1
624,35,178,70,125,1
586,22,1,44,92,1
1675,36,20,19,64,1
2172,10,87,63,46,1
435,34,191,73,189,1
3331,6,115,4,112,1
524,14,42,79,49,1
467,37,54,52,16,1
3650,19,99,8,5,1
1004,32,57,47,123,1
4908,20,46,30,87,0
1255,21,142,66,27,1
4809,15,76,42,82,1
4170,17,182,44,174,1
2040,44,132,0,5,1
4855,45,100,25,36,1
3622,24,191,26,62,1
4430,21,100,28,32,0
4208,48,21,45,42,1
4807,15,129,95,132,1
2763,11,60,91,65,1
2253,37,23,29,90,1
3170,30,16,25,145,1
1016,18,14,85,69,1
4994,28,105,87,128,1
3482,13,118,25,5,1
738,43,77,70,190,1
4293,10,130,44,199,1
3751,47,77,64,196,1
391,39,135,39,149,1
1774,12,78,86,136,1
4472,38,70,65,181,1
1842,41,78,41,104,1
1809,48,140,10,60,1
3262,40,152,70,92,1
1039,26,150,53,27,1
2312,44,46,13,17,1
2532,19,85,62,146,1
1001,23,112,76,97,1
772,48,158,0,158,1
3439,36,4,26,85,1
2129,27,166,60,176,1
2767,16,44,66,126,1
2382,7,25,90,69,1
3426,13,196,13,115,1
4574,12,74,28,145,1
1550,27,98,19,58,1
335,33,80,36,122,1
3545,31,56,40,11,1
2115,11,4,81,177,0
818,17,192,21,124,1
3107,38,173,29,183,1
4339,2,121,54,61,1
2211,3,83,57,189,1
3343,34,96,11,191,1
996,32,13,97,168,1
4976,24,19,57,190,1
3385,24,9,25,110,1
4200,13,100,99,43,1
4945,22,196,99,68,1
4923,19,60,17,35,1
1531,30,190,60,197,1
1951,39,128,60,165,1
3501,21,161,24,178,1
4114,48,31,68,104,1
104,23,62,90,72,1
1873,16,105,36,162,1
3512,42,173,75,103,1
3129,7,113,38,107,1
882,20,178,21,101,1
4458,48,13,74,92,1
2856,42,91,9,198,1
2540,14,36,99,95,1
377,26,138,37,192,1
3360,22,50,63,50,1
3350,41,46,81,116,1
3725,36,60,42,20,1
3104,26,112,54,52,1
2193,12,22,10,153,1
1361,49,60,15,97,1
3241,31,162,24,69,1
2588,40,130,54,5,1
4033,4,84,66,28,1
4597,40,128,65,85,1
214,27,181,26,95,1
4327,9,125,45,178,1
872,12,28,10,39,1
993,29,61,69,56,1
4475,28,84,27,27,1
824,16,44,66,102,1
2248,8,135,43,117,1
3206,47,32,78,69,1
4292,49,189,69,142,1
3745,13,124,54,173,1
3502,14,29,78,12,1
