loc,complexity,args,nesting_depth,returns,variables,methods_called,is_smelly
18,1,1,0,0,3,3,0
64,19,6,8,6,27,19,1
83,27,8,5,7,29,21,1
25,1,0,0,1,1,1,0
93,29,6,4,5,10,24,1
22,2,1,1,2,4,0,0
25,3,1,1,0,4,0,0
5,3,1,2,2,4,1,0
122,35,1,7,4,10,18,1
236,30,8,5,12,16,24,1
70,37,6,7,6,19,14,1
20,3,3,0,0,1,3,0
14,2,1,2,1,3,3,0
150,36,7,4,8,23,23,1
119,38,5,9,11,15,8,1
11,2,1,0,0,2,3,0
279,17,10,5,4,24,16,1
181,35,11,8,4,22,17,1
12,2,1,1,1,2,2,0
225,30,7,8,14,12,18,1
63,20,8,8,7,15,15,1
24,4,0,2,1,4,0,0
25,4,1,0,2,1,3,0
19,3,0,2,2,2,3,0
28,1,1,2,0,1,0,0
247,12,7,4,8,24,20,1
61,20,6,4,12,13,10,1
76,11,5,9,8,29,17,1
186,23,8,7,10,17,12,1
7,2,2,1,1,1,3,0
143,15,8,9,5,21,14,1
234,16,10,6,10,23,23,1
14,1,3,1,1,2,0,0
215,20,11,9,11,19,22,1
26,2,2,2,0,3,1,0
11,3,3,0,2,2,3,0
226,10,10,8,7,19,13,1
13,1,2,0,1,1,0,0
25,2,2,1,1,2,0,0
169,32,8,9,13,18,13,1
23,4,3,1,0,2,2,0
185,36,8,8,10,25,10,1
118,27,7,9,8,15,8,1
237,35,10,5,11,21,24,1
18,1,2,1,2,1,0,0
22,2,2,1,0,1,0,0
26,4,2,1,1,2,3,0
10,4,2,0,2,4,3,0
75,33,8,8,9,27,24,1
141,14,8,8,12,11,20,1
238,16,5,8,9,27,20,1
180,10,11,6,4,16,20,1
7,2,2,2,2,2,1,0
19,4,2,0,0,2,2,0
152,19,5,6,3,25,8,1
198,24,5,2,9,24,1,1
7,2,1,0,2,1,2,0
21,3,0,2,1,1,1,0
297,20,5,8,14,13,21,1
152,10,5,9,9,18,9,1
21,1,1,0,0,1,0,0
94,37,2,0,3,22,19,1
234,36,7,6,8,27,16,1
297,29,8,6,10,20,13,1
21,4,2,1,0,4,0,0
19,3,0,0,1,1,3,0
166,25,8,5,10,24,18,1
185,23,5,7,14,15,21,1
13,3,0,1,1,2,2,0
155,35,2,2,4,27,3,1
270,21,6,9,12,22,10,1
290,11,10,6,7,7,24,1
14,3,2,2,1,3,1,0
7,4,1,0,1,4,1,0
227,16,8,9,13,11,10,1
102,18,9,4,6,15,13,1
79,37,9,7,4,17,23,1
268,14,9,6,11,19,18,1
77,20,6,8,7,21,18,1
237,35,6,4,7,17,21,1
26,2,0,0,1,4,2,0
23,4,1,1,0,3,3,0
61,39,8,6,10,28,24,1
258,36,8,4,10,10,13,1
293,16,11,7,12,18,22,1
100,13,5,5,12,14,24,1
12,1,1,0,2,4,0,0
15,2,1,2,1,4,2,0
11,1,3,0,2,3,2,0
13,3,1,0,1,3,2,0
245,32,6,9,10,18,22,1
24,3,0,1,2,4,0,0
87,11,6,4,13,16,22,1
252,17,11,7,12,15,10,1
18,2,2,1,1,1,1,0
278,34,10,5,13,10,19,1
17,2,0,1,0,4,1,0
7,1,1,0,1,4,0,0
48,34,4,6,1,18,10,1
27,1,3,0,1,1,3,0
18,4,1,2,0,1,0,0
116,36,11,7,10,28,19,1
144,16,10,6,8,14,21,1
123,35,7,6,14,17,20,1
113,37,7,5,10,27,21,1
20,3,3,2,2,3,1,0
211,23,6,6,6,27,8,1
8,4,1,2,2,3,1,0
13,3,2,2,2,4,0,0
266,38,5,7,4,18,17,1
266,20,9,8,7,25,22,1
24,3,3,0,0,2,3,0
220,34,8,8,11,16,19,1
22,1,2,1,2,4,3,0
271,25,5,7,13,28,12,1
76,28,5,5,11,13,14,1
115,28,8,9,12,16,8,1
297,29,10,5,13,29,19,1
61,5,8,7,9,25,10,1
95,34,9,6,9,18,17,1
90,33,8,9,6,15,15,1
12,3,2,2,1,2,1,0
247,23,8,6,13,12,14,1
19,3,1,2,1,2,2,0
107,20,6,9,6,21,11,1
202,19,10,6,9,18,22,1
220,19,10,4,9,19,19,1
14,3,3,0,1,2,2,0
21,2,0,2,1,1,2,0
292,22,7,6,10,12,22,1
23,1,0,0,0,3,0,0
7,2,0,0,0,4,2,0
28,1,3,1,0,1,1,0
80,26,5,6,12,22,19,1
36,3,1,9,11,20,11,1
16,3,2,1,2,3,3,0
277,37,7,5,8,24,10,1
163,20,9,6,7,29,21,1
236,29,11,2,13,11,21,1
98,22,10,5,9,26,15,1
264,19,5,8,4,23,19,1
275,12,9,9,13,18,16,1
215,38,11,6,5,25,20,1
74,31,5,4,7,21,22,1
215,11,7,5,7,29,18,1
119,36,7,8,13,18,14,1
176,20,7,0,6,10,24,1
171,20,5,5,10,18,16,1
26,4,0,0,0,4,3,0
20,4,2,1,1,2,3,0
221,35,6,6,14,18,15,1
148,14,10,4,10,22,19,1
9,1,1,1,2,1,1,0
12,3,2,1,0,2,1,0
14,1,3,0,0,2,1,0
21,2,2,1,1,2,2,0
15,2,0,2,1,2,2,0
123,30,7,9,8,17,21,1
15,1,3,2,0,2,3,0
188,15,9,5,4,28,18,1
243,15,5,9,14,12,15,1
252,32,8,4,9,29,18,1
19,4,1,2,2,2,2,0
86,12,5,4,9,13,24,1
236,15,6,7,4,20,23,1
31,37,9,4,4,8,23,1
26,4,3,2,1,3,3,0
159,28,6,9,13,12,21,1
193,27,7,4,5,26,9,1
11,1,2,0,2,3,3,0
5,2,3,2,1,4,3,0
21,4,2,0,0,4,1,0
281,21,11,4,12,16,12,1
16,4,1,1,1,3,1,0
62,20,6,9,9,10,17,1
55,12,5,7,2,4,16,1
283,23,5,5,14,23,15,1
133,36,6,8,4,22,24,1
6,4,1,1,1,1,2,0
144,32,1,0,9,7,14,1
198,21,11,9,4,21,18,1
88,13,10,7,9,25,22,1
42,9,0,6,14,18,6,1
12,1,0,0,2,3,3,0
81,27,6,5,5,11,13,1
22,2,1,1,0,3,0,0
273,15,11,9,4,29,24,1
5,3,3,2,2,1,0,0
10,4,0,0,2,2,1,0
297,33,9,5,12,25,18,1
207,22,7,5,8,28,15,1
26,1,1,2,1,2,3,0
9,3,2,0,1,1,0,0
10,4,3,2,1,1,2,0
22,1,3,2,1,2,2,0
7,3,2,0,1,4,2,0
76,12,10,5,9,26,10,1
13,4,1,1,1,2,0,0
11,2,2,2,0,1,1,0
23,3,2,2,1,4,3,0
84,18,9,7,7,21,24,1
175,32,6,4,8,26,10,1
202,30,1,5,9,1,23,1
82,18,5,5,12,16,17,1
289,33,8,9,4,14,17,1
14,4,1,0,0,4,0,0
212,12,6,6,5,19,17,1
11,2,3,2,0,3,2,0
256,20,5,9,6,15,15,1
10,3,2,1,2,4,2,0
225,32,9,8,13,16,16,1
281,26,9,4,12,25,23,1
15,2,2,2,0,1,0,0
258,26,10,4,10,26,22,1
252,27,9,5,4,21,14,1
60,39,10,5,9,13,20,1
18,2,0,0,0,2,0,0
9,1,3,2,1,3,1,0
7,1,1,1,2,1,3,0
84,13,9,8,9,12,12,1
5,2,3,2,2,4,3,0
13,2,2,1,0,4,3,0
10,2,2,2,0,3,0,0
6,3,3,2,2,3,2,0
298,34,9,9,8,21,10,1
76,29,10,7,14,19,20,1
115,16,11,9,10,22,14,1
118,17,9,6,13,26,23,1
223,20,11,8,5,11,16,1
12,4,1,0,1,2,0,0
24,1,1,2,1,2,0,0
181,14,9,5,8,24,14,1
208,24,9,7,10,21,11,1
165,29,8,8,11,14,9,1
167,16,11,6,4,28,22,1
14,1,2,0,0,2,1,0
26,1,1,1,2,1,2,0
180,32,10,4,8,28,14,1
248,29,2,8,13,12,15,1
20,4,3,2,2,1,2,0
74,24,10,4,12,10,18,1
17,3,0,1,2,1,0,0
13,1,0,2,0,2,3,0
223,23,8,9,12,24,18,1
28,1,3,0,1,4,1,0
294,14,6,8,9,25,16,1
189,11,8,6,6,26,16,1
13,1,1,1,1,2,2,0
28,2,0,2,2,4,1,0
139,12,5,9,5,23,16,1
242,33,0,5,9,17,1,1
166,29,11,5,8,17,24,1
217,20,7,8,9,12,18,1
5,4,0,0,2,2,2,0
221,37,5,9,12,26,23,1
19,3,3,0,0,1,0,0
125,23,7,7,13,25,17,1
24,4,3,0,2,1,2,0
22,4,0,2,0,1,3,0
25,4,2,2,0,1,1,0
21,4,0,2,1,2,3,0
17,2,1,0,2,4,1,0
168,14,6,8,8,24,23,1
24,3,3,2,2,4,2,0
288,20,5,9,13,22,12,1
16,4,0,0,0,4,3,0
189,17,10,8,7,23,22,1
107,23,8,4,8,1,12,1
148,12,6,8,14,11,11,1
27,2,3,2,1,4,0,0
22,3,1,0,1,1,2,0
9,1,2,0,0,3,0,0
9,3,3,2,0,3,3,0
239,16,3,3,13,12,16,1
221,26,8,8,9,16,14,1
19,4,0,2,1,2,0,0
230,24,11,5,7,11,21,1
196,36,9,4,12,18,24,1
265,28,6,9,13,10,24,1
243,21,6,4,14,26,8,1
11,3,1,1,0,3,0,0
21,4,1,1,0,2,1,0
101,39,8,9,10,18,8,1
200,37,11,9,12,17,24,1
70,34,10,7,5,14,13,1
175,26,9,9,7,26,12,1
23,1,3,0,0,4,3,0
93,36,4,1,7,22,9,1
229,37,8,7,10,12,8,1
288,26,8,9,8,11,11,1
201,37,8,7,12,13,12,1
23,3,2,1,2,4,0,0
24,3,2,2,1,1,0,0
106,32,10,6,10,19,19,1
16,2,3,0,1,1,0,0
15,3,2,0,1,3,0,0
289,13,5,4,8,20,10,1
266,38,10,5,9,14,24,1
29,1,1,1,2,4,0,0
191,39,7,4,12,21,13,1
18,3,0,2,0,4,0,0
24,1,2,0,0,2,3,0
74,31,9,7,5,27,18,1
13,4,2,0,0,4,1,0
61,36,11,9,12,27,18,1
13,1,1,0,0,1,2,0
134,33,9,4,9,13,15,1
7,1,0,0,0,3,2,0
14,4,0,2,0,1,1,0
17,3,3,2,2,3,0,0
20,3,0,0,1,1,0,0
158,11,9,4,4,29,15,1
220,25,8,4,4,10,21,1
26,1,3,0,1,1,0,0
216,28,7,5,10,20,22,1
226,36,9,4,8,16,10,1
50,31,5,5,12,10,23,1
20,2,0,1,2,3,0,0
184,15,8,5,9,25,10,1
10,1,3,1,2,1,3,0
21,4,0,2,2,1,0,0
217,22,11,6,6,16,15,1
157,16,9,5,8,27,13,1
11,22,6,0,4,17,19,1
10,28,3,9,3,13,0,1
83,28,7,4,6,24,21,1
209,21,8,6,5,14,12,1
161,20,9,7,14,17,19,1
297,25,7,4,14,29,17,1
148,17,8,8,12,13,8,1
250,39,8,5,12,29,10,1
17,2,2,1,0,1,0,0
237,17,2,7,9,5,11,1
288,29,9,7,13,28,21,1
255,30,5,5,10,16,22,1
260,19,7,4,5,14,20,1
9,2,2,2,0,1,1,0
5,1,1,1,1,4,0,0
251,30,6,5,8,28,17,1
29,3,2,1,1,2,0,0
253,8,2,3,14,19,1,1
22,2,0,2,1,1,2,0
21,29,2,4,4,11,23,1
12,1,0,1,2,1,2,0
157,12,10,8,5,11,21,1
13,4,3,0,1,4,0,0
139,39,10,8,6,2,1,1
82,15,11,8,4,19,12,1
8,2,3,2,1,3,0,0
44,28,6,3,2,22,18,1
24,1,3,0,1,1,3,0
257,24,11,7,9,4,9,1
25,1,1,2,2,3,1,0
212,31,11,6,12,28,15,1
283,21,11,6,12,26,23,1
200,39,5,6,10,11,15,1
9,3,1,2,1,3,1,0
263,14,6,8,12,28,22,1
296,18,9,6,9,17,21,1
137,26,5,8,12,11,8,1
299,35,11,8,4,11,16,1
22,2,2,0,0,1,1,0
207,14,5,9,6,13,24,1
278,24,9,4,9,13,11,1
12,4,2,2,1,3,1,0
15,4,0,2,1,1,2,0
90,29,11,9,4,28,15,1
260,28,8,8,4,17,24,1
212,24,10,2,2,29,9,1
8,2,1,0,1,4,3,0
6,1,0,0,1,1,0,0
12,4,0,2,2,3,3,0
223,33,5,8,9,18,12,1
21,3,2,1,1,1,2,0
29,4,0,2,2,3,0,0
212,33,9,4,6,28,15,1
239,14,6,9,14,11,16,1
298,20,6,7,4,14,24,1
100,33,9,9,11,23,10,1
137,13,8,5,14,21,24,1
9,4,2,2,2,3,1,0
294,36,9,6,13,21,9,1
219,14,11,7,11,17,10,1
158,23,10,5,10,27,10,1
18,4,1,0,2,2,1,0
68,33,11,9,13,16,8,1
252,37,6,7,10,26,17,1
131,15,11,4,10,28,19,1
11,4,3,0,2,3,2,0
123,30,6,7,13,29,12,1
9,4,0,1,0,1,3,0
67,25,8,6,13,16,9,1
15,4,1,2,2,4,2,0
16,1,2,2,2,1,3,0
149,35,11,6,5,28,18,1
8,4,2,0,2,1,2,0
79,27,11,5,8,24,12,1
237,39,5,8,13,18,10,1
131,34,8,7,7,18,16,1
21,3,0,1,2,1,1,0
7,4,2,1,0,3,1,0
6,3,3,1,2,4,2,0
207,24,6,6,7,24,21,1
259,21,8,0,2,21,15,1
23,4,0,0,2,1,2,0
252,20,10,6,5,17,19,1
12,1,1,1,1,3,1,0
186,17,8,1,10,26,6,1
25,3,2,1,1,1,3,0
29,1,0,2,2,2,1,0
78,28,10,6,13,16,21,1
291,14,11,8,8,12,24,1
192,12,5,7,11,12,14,1
7,1,1,0,2,1,2,0
17,1,0,2,2,2,3,0
81,38,10,8,6,19,16,1
19,3,1,0,2,1,2,0
24,1,2,2,1,1,0,0
10,4,0,2,2,1,0,0
297,23,6,7,7,11,23,1
11,2,2,2,0,4,3,0
209,23,9,0,14,12,23,1
247,30,7,7,7,20,14,1
10,1,1,1,1,2,0,0
247,39,8,7,10,14,19,1
87,36,7,6,4,13,14,1
20,2,1,2,1,1,2,0
15,1,1,0,2,2,0,0
172,39,7,9,7,20,10,1
5,3,0,0,0,2,3,0
11,3,3,1,1,4,2,0
77,32,8,9,6,15,23,1
283,33,6,9,8,21,23,1
212,36,9,7,10,20,8,1
17,1,1,1,1,4,2,0
16,4,0,2,0,4,0,0
91,26,7,6,12,24,13,1
24,1,2,2,0,1,2,0
25,3,2,0,1,3,3,0
16,3,1,2,0,3,3,0
152,29,9,4,8,14,18,1
191,7,0,5,7,25,1,1
8,1,3,1,2,2,0,0
6,3,3,1,2,1,2,0
201,18,8,9,7,25,23,1
112,36,11,4,10,25,17,1
15,4,0,2,2,1,0,0
24,3,2,2,1,3,2,0
19,2,0,0,1,1,1,0
260,26,11,6,11,13,9,1
296,25,6,4,4,25,13,1
21,1,0,2,2,1,2,0
186,26,5,7,9,24,22,1
205,22,6,7,10,26,22,1
11,2,3,1,2,2,1,0
192,16,6,4,5,20,22,1
7,2,0,2,1,2,3,0
110,12,7,8,10,28,24,1
18,2,0,2,2,2,0,0
28,3,3,0,0,2,2,0
177,26,6,8,13,17,19,1
8,2,1,2,1,4,1,0
29,4,2,1,0,4,2,0
155,22,9,5,7,19,24,1
176,12,6,9,7,19,16,1
66,23,8,9,5,24,17,1
15,1,0,2,0,2,2,0
5,1,3,1,0,4,0,0
112,10,10,6,4,10,16,1
8,3,2,1,1,3,1,0
22,1,2,1,2,1,2,0
17,2,1,0,1,4,3,0
21,3,1,2,1,4,3,0
14,3,3,0,1,2,1,0
66,19,9,7,10,27,23,1
297,12,9,4,12,11,17,1
249,38,4,1,3,26,4,1
124,28,9,4,14,20,20,1
207,32,6,6,8,13,8,1
56,6,7,2,12,21,5,1
245,28,8,8,5,15,20,1
28,2,1,0,2,3,3,0
5,2,3,2,2,2,0,0
135,31,8,8,9,26,24,1
9,2,1,0,1,1,0,0
152,20,6,7,9,10,11,1
6,2,0,0,2,2,2,0
151,21,6,7,7,12,21,1
218,20,1,9,5,13,24,1
198,24,7,9,5,20,14,1
209,1,1,8,3,11,23,1
7,1,0,0,1,2,3,0
195,25,9,8,0,15,17,1
8,2,3,0,2,1,3,0
25,4,0,0,2,4,3,0
90,22,7,7,6,18,8,1
161,25,10,7,14,22,14,1
172,35,9,9,4,12,17,1
166,39,7,4,14,29,9,1
248,22,6,5,8,27,9,1
26,4,3,1,0,4,1,0
29,1,2,1,0,2,0,0
180,29,8,6,5,29,11,1
19,2,2,2,0,4,1,0
22,6,8,9,8,9,16,1
126,39,8,2,9,29,24,1
180,14,6,9,7,10,23,1
113,24,8,5,6,11,12,1
7,4,2,0,1,4,1,0
7,3,2,2,2,1,3,0
25,2,2,2,2,4,2,0
265,28,10,7,14,14,18,1
244,33,7,7,12,28,12,1
269,21,0,6,9,27,21,1
167,21,6,9,5,23,11,1
80,19,7,4,11,22,12,1
173,35,7,5,13,23,15,1
179,22,5,7,8,24,12,1
278,19,10,5,14,18,16,1
229,22,9,5,12,14,15,1
260,6,7,9,13,19,20,1
269,22,6,6,13,20,18,1
21,23,2,6,3,25,0,1
14,1,3,2,0,1,3,0
15,2,2,2,0,2,1,0
5,3,3,0,2,1,1,0
27,2,0,2,2,3,2,0
16,4,1,0,2,4,1,0
12,3,1,1,2,2,2,0
211,35,6,7,11,24,15,1
28,4,3,1,0,1,0,0
20,4,1,0,1,4,3,0
127,37,11,9,14,27,13,1
28,4,0,1,1,2,2,0
13,9,7,2,4,28,7,1
28,2,3,2,0,2,0,0
48,32,3,2,13,12,10,1
210,12,6,5,10,26,9,1
105,16,5,7,11,12,10,1
248,37,10,7,10,15,19,1
23,4,0,1,1,3,2,0
9,4,1,2,2,4,0,0
195,22,7,7,5,21,10,1
225,33,5,5,14,29,9,1
5,1,0,1,0,1,2,0
222,31,6,5,6,29,24,1
180,36,7,7,8,22,9,1
111,37,8,9,12,25,9,1
63,33,11,8,14,23,17,1
12,4,2,2,0,3,1,0
282,17,6,1,1,16,15,1
10,2,0,1,2,1,0,0
21,4,1,1,0,2,0,0
64,33,11,5,8,28,24,1
231,12,7,9,5,19,9,1
89,20,10,9,9,22,9,1
179,13,9,5,4,23,8,1
24,3,2,0,0,1,2,0
193,39,11,9,12,29,15,1
21,2,2,2,2,1,1,0
15,4,3,0,0,2,2,0
61,26,10,5,9,27,20,1
173,38,6,5,12,24,24,1
98,15,7,7,6,15,23,1
144,20,6,5,6,17,14,1
123,27,7,9,8,12,8,1
6,1,3,1,0,3,1,0
7,1,2,0,1,4,0,0
109,35,8,5,14,5,23,1
19,4,3,2,1,1,1,0
277,28,11,9,5,29,12,1
28,2,3,0,1,1,0,0
29,4,2,2,0,1,1,0
7,1,3,0,1,1,3,0
18,4,3,2,2,2,1,0
17,1,0,2,0,2,2,0
16,1,1,0,1,1,3,0
271,13,5,8,6,29,19,1
20,2,2,0,2,1,0,0
107,39,7,9,4,16,20,1
228,17,7,9,7,26,15,1
124,15,9,7,6,24,23,1
26,1,1,0,1,4,1,0
23,4,1,2,0,1,0,0
15,3,2,1,1,3,1,0
5,2,3,0,1,3,0,0
288,14,11,8,2,24,4,1
17,2,0,0,1,1,0,0
189,17,6,6,1,26,2,1
194,10,7,6,9,27,21,1
93,21,10,8,10,15,22,1
233,22,9,0,9,28,5,1
229,16,11,8,7,29,11,1
246,37,1,6,2,28,11,1
255,27,8,6,4,12,14,1
15,3,2,0,1,3,1,0
152,25,8,8,10,19,24,1
24,3,1,1,0,3,0,0
202,17,0,2,2,9,14,1
141,28,10,4,7,12,12,1
201,11,8,8,11,20,14,1
260,36,11,5,10,13,12,1
124,36,10,5,13,18,21,1
7,2,3,2,1,2,1,0
179,13,10,8,11,22,24,1
80,25,2,7,14,2,13,1
28,4,0,1,1,3,2,0
21,2,2,1,1,4,0,0
27,4,0,2,2,2,2,0
256,34,10,9,6,11,17,1
11,4,3,1,1,3,0,0
296,33,7,8,14,25,21,1
25,2,3,2,2,2,2,0
7,1,2,2,0,3,0,0
28,4,1,0,0,4,3,0
146,22,10,8,4,18,14,1
286,36,11,7,7,15,16,1
157,28,5,9,10,16,19,1
11,28,7,5,6,11,5,1
73,38,11,8,9,17,23,1
25,2,1,0,0,3,2,0
25,1,2,1,0,2,2,0
10,3,2,2,1,1,2,0
272,13,11,8,14,20,12,1
154,39,11,5,6,21,15,1
167,34,7,6,4,19,16,1
5,2,2,2,1,4,0,0
14,1,0,0,1,2,1,0
187,1,3,8,1,4,3,1
27,4,2,1,0,2,1,0
71,17,8,4,5,15,0,1
23,4,1,1,0,3,3,0
133,16,2,9,11,5,23,1
19,3,3,1,2,2,1,0
176,29,11,5,4,10,13,1
281,23,5,5,6,12,19,1
183,39,5,6,10,14,20,1
192,20,8,8,14,10,17,1
5,1,3,2,2,2,3,0
286,12,10,8,10,16,14,1
99,11,9,7,8,23,24,1
192,25,6,6,14,20,20,1
175,9,3,1,13,4,3,1
29,4,3,0,1,3,3,0
209,27,9,7,10,29,11,1
27,1,1,0,2,2,1,0
155,15,7,9,12,15,9,1
171,37,8,6,14,14,14,1
17,1,3,1,0,3,3,0
8,2,1,2,1,2,2,0
240,22,11,4,9,22,24,1
208,25,7,7,5,17,12,1
18,3,0,2,0,2,3,0
13,4,0,0,1,4,3,0
18,1,3,0,2,4,3,0
195,39,11,4,4,21,11,1
24,1,0,0,2,4,3,0
299,25,7,4,5,10,17,1
22,2,0,1,0,3,0,0
27,4,3,0,2,2,2,0
186,25,8,6,5,26,12,1
251,32,0,0,4,15,16,1
21,1,1,2,1,3,3,0
6,2,1,1,0,3,3,0
18,3,3,1,0,4,3,0
5,1,1,1,0,3,3,0
202,35,5,5,11,13,8,1
275,10,8,7,8,27,19,1
28,1,1,1,2,1,3,0
243,7,11,7,2,25,19,1
78,13,11,5,11,26,18,1
15,3,3,0,1,4,0,0
246,31,6,6,9,20,14,1
147,17,8,9,7,18,21,1
207,30,9,8,11,29,8,1
12,2,1,0,2,3,2,0
77,11,10,4,10,14,11,1
22,1,1,2,0,4,0,0
18,4,3,1,1,4,0,0
181,17,10,8,10,21,18,1
189,21,5,6,5,22,14,1
192,29,6,7,9,29,9,1
256,34,8,4,6,11,16,1
22,1,0,1,1,3,3,0
103,19,8,8,11,13,19,1
264,32,9,5,14,10,19,1
25,3,0,2,2,1,0,0
243,33,7,7,12,15,19,1
83,28,9,4,10,23,17,1
26,3,1,0,0,1,0,0
27,2,2,1,0,2,3,0
9,1,0,1,1,1,1,0
5,2,0,1,0,2,3,0
27,4,2,0,2,3,1,0
223,23,10,6,5,24,14,1
136,12,9,6,5,26,21,1
103,15,11,1,13,18,11,1
9,1,2,2,0,1,1,0
60,36,5,8,7,18,9,1
138,15,8,5,8,21,23,1
24,3,1,1,2,1,0,0
255,36,8,7,13,18,14,1
170,29,11,7,14,12,14,1
13,3,0,2,0,1,2,0
26,3,1,1,0,3,2,0
222,13,9,5,12,24,9,1
120,33,7,8,4,12,15,1
188,14,1,6,11,3,21,1
143,27,9,9,10,14,15,1
12,4,0,1,0,3,3,0
20,3,1,2,0,3,2,0
147,30,7,4,4,29,15,1
244,20,5,5,4,11,11,1
115,10,7,5,6,23,19,1
25,4,0,1,1,3,0,0
106,14,8,9,13,14,12,1
25,4,2,1,1,4,1,0
153,12,8,5,6,13,18,1
111,12,7,8,10,25,20,1
139,19,10,9,14,19,16,1
195,29,8,9,8,14,10,1
24,1,2,0,0,1,2,0
11,4,1,0,1,1,3,0
240,23,10,8,8,24,13,1
16,1,1,1,2,2,0,0
12,4,1,2,1,1,3,0
6,3,2,0,0,4,0,0
13,1,0,2,1,1,3,0
7,4,3,1,0,4,3,0
273,16,2,6,14,20,7,1
18,2,3,0,0,4,3,0
131,23,11,8,11,21,17,1
297,34,10,4,13,11,11,1
85,21,11,4,7,18,11,1
137,10,5,9,5,11,19,1
281,14,9,9,9,15,8,1
20,4,0,1,2,3,2,0
243,27,10,7,11,19,8,1
251,20,5,4,8,18,19,1
16,3,1,2,2,1,0,0
144,35,9,6,7,16,15,1
230,35,8,4,14,12,17,1
17,3,3,2,0,1,3,0
20,3,3,2,2,4,3,0
105,12,9,8,14,26,13,1
221,24,11,4,9,19,11,1
249,1,7,5,4,10,2,1
8,3,0,2,0,3,0,0
13,1,3,2,2,4,3,0
231,25,9,4,8,16,22,1
115,21,10,6,13,26,12,1
15,4,3,1,0,3,1,0
5,1,3,2,2,4,2,0
15,3,0,2,2,4,0,0
235,30,5,7,13,13,23,1
221,37,7,4,4,21,24,1
21,1,2,1,0,4,1,0
25,1,0,1,0,1,2,0
103,38,8,7,8,12,21,1
10,3,2,0,0,1,3,0
5,2,3,2,1,1,0,0
14,3,3,1,0,3,3,0
80,26,11,9,10,19,8,1
60,14,9,6,11,16,16,1
24,4,2,0,1,4,2,0
285,28,8,9,6,25,17,1
9,1,1,0,1,1,1,0
112,13,9,8,9,20,16,1
7,2,3,1,1,3,2,0
195,36,9,8,4,19,15,1
20,1,1,2,2,4,1,0
140,35,6,4,4,18,17,1
114,33,10,7,14,14,16,1
85,19,9,5,11,26,11,1
273,26,7,5,13,22,14,1
10,1,0,2,2,4,3,0
12,3,0,0,1,2,3,0
292,28,11,8,10,19,24,1
24,2,1,0,1,3,3,0
104,24,11,4,6,22,21,1
132,31,7,8,9,26,10,1
73,17,5,7,14,12,22,1
285,27,5,9,10,27,15,1
22,1,0,2,0,1,0,0
8,3,2,0,1,4,0,0
5,3,3,2,2,4,2,0
258,37,10,9,8,14,24,1
23,3,1,2,2,3,1,0
66,11,10,9,10,23,11,1
124,34,6,8,11,11,8,1
17,4,0,0,2,1,3,0
288,28,6,6,11,23,11,1
283,18,8,2,10,2,4,1
269,18,5,9,6,18,18,1
29,1,3,0,1,2,1,0
99,24,9,9,8,14,14,1
126,12,9,9,4,23,18,1
183,25,6,4,9,17,9,1
17,3,0,2,2,2,2,0
188,26,7,6,8,28,12,1
72,14,9,6,13,27,19,1
65,11,10,5,6,19,16,1
